,D,Q,T,H,M,R,C,S
Autonomous Vehicle,0.06976744186046513,0.17209302325581396,0.17209302325581396,0.1302325581395349,0.1302325581395349,0.13488372093023257,0.12558139534883722,0.06511627906976745
Education,0.13414634146341464,0.13414634146341464,0.14634146341463417,0.14634146341463417,0.10975609756097561,0.10975609756097561,0.13414634146341464,0.08536585365853658
Financial Services,0.0909090909090909,0.1515151515151515,0.1515151515151515,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.1515151515151515,0.0909090909090909
Medical AI,0.12903225806451613,0.15053763440860216,0.13978494623655915,0.10752688172043012,0.12903225806451613,0.12903225806451613,0.13978494623655915,0.07526881720430108
Others,0.11986301369863013,0.148972602739726,0.148972602739726,0.11643835616438356,0.11815068493150684,0.13356164383561642,0.125,0.08904109589041095
Public Administration,0.12878787878787878,0.15151515151515152,0.15151515151515152,0.11363636363636365,0.08333333333333334,0.12878787878787878,0.14393939393939395,0.0984848484848485
Recruitment / Hiring,0.09756097560975609,0.17073170731707316,0.17073170731707316,0.09756097560975609,0.1056910569105691,0.12195121951219512,0.14634146341463414,0.08943089430894309
Robotics,0.06976744186046512,0.16279069767441862,0.1744186046511628,0.10465116279069767,0.12790697674418602,0.12790697674418602,0.1511627906976744,0.08139534883720931
General,0.1083086053412463,0.15504451038575667,0.15578635014836795,0.11721068249258161,0.11646884272997032,0.12982195845697328,0.1327893175074184,0.08456973293768545
